City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
237,Adolfo Lopez Mateos,MX,80.01,few clouds,28.47,-107.3,Hotel Victor Inn
238,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
239,Port Blair,IN,82.53,light rain,11.67,92.75,Fortune Resort Bay Island
243,Victoria,HK,79.0,light rain,22.29,114.16,Mini Hotel Central
248,Shihezi,CN,79.72,overcast clouds,44.3,86.03,Home Inn Shihezi Dongwu Road Century Square
249,Price,US,89.6,clear sky,39.6,-110.81,National 9 - Price River Inn
250,Port-Cartier,CA,78.8,broken clouds,50.03,-66.87,Le Q'Artier
254,Miri,MY,78.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
256,Umm Lajj,SA,88.29,scattered clouds,25.02,37.27,Moon light Furnished Units
258,Martapura,ID,77.0,overcast clouds,-3.42,114.85,Montana Hotel Syariah
260,Los Palacios,CU,88.54,light rain,22.59,-83.25,np.nan
264,Yago,MX,84.2,broken clouds,21.83,-105.07,np.nan
265,Zhanaozen,KZ,82.76,scattered clouds,43.3,52.8,K.korabay 28A
266,Meulaboh,ID,78.19,light rain,4.14,96.13,Kost Pria
269,Makakilo City,US,80.6,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
270,Korla,CN,83.82,broken clouds,41.76,86.15,Gulisitan Hotel
271,Pontianak,ID,77.52,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
277,Sete,FR,86.0,broken clouds,43.4,3.7,Hotel De Paris Sète
278,Neiafu,TO,75.2,broken clouds,-18.65,-173.98,Mystic Sands
281,Sarakhs,IR,86.0,clear sky,36.54,61.16,Sarakhs Abrisham Hotel
284,Jiazi,CN,79.2,light rain,22.88,116.07,Hotel Jin Hao
285,Lorengau,PG,81.57,light rain,-2.02,147.27,Lorengau Harbourside Hotel
289,Bengkulu,ID,76.71,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
290,Kadoma,JP,80.01,scattered clouds,34.73,135.58,Hotel Agora Osaka Moriguchi
293,Tual,ID,77.02,broken clouds,-5.67,132.75,Grand Vilia Hotel
298,Lekoni,GA,83.25,overcast clouds,-1.58,14.26,Rendez-vous Des ChasseursD
